#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCASSASSINATION0;You were on your way to your office when you heard the first shot. Your bodyguards react before you can, your head of security immediately taking control of the hovercar and trying to get you to safety. Even so, however, they are too slow. The second shot penetrates the windows and takes you in the heart.;;;;;;;;;;;;;x
EVTOPTAASSASSINATION0;...;;;;;;;;;;;;;x
EVTDESCASSASSINATION1;Your aide has brought you terrible news - your [GetFromRelation], [From.GetFullName], has been killed by a bounty hunter!;;;;;;;;;;;;;x
EVTDESCASSASSINATION2;Your aide has brought you wonderful news - [From.GetFullName] is dead, killed by a bounty hunter.;;;;;;;;;;;;;x
EVTDESCASSASSINATION5;You were on your way to your office when you heard the first shot. Your bodyguards react before you can, your head of security immediately taking control of the hovercar and trying to get you to safety. You hear someone return fire, and in the distance see a body fall from a roof top. Bounty hunters. Someone wants you dead.;;;;;;;;;;;;;x
EVTOPTAASSASSINATION5;But who?;;;;;;;;;;;;;x
EVTDESCASSASSINATION6;Your aide informs you that a bounty hunter made an attempt on the life of your [GetFromRelation], [From.GetFullName]. Fortunately, the assassination was thwarted.;;;;;;;;;;;;;x
EVTDESCASSASSINATION7;Your aide informs you that a bounty hunter made an attempt on the life of [From.GetFullName]. Unfortunately, the assassination was thwarted. No doubt [From.GetSheHe] will be on high alert for the foreseeable future.;;;;;;;;;;;;;x
recent_assassination_attempt;Recent Assassination Attempt;;;;;;;;;;;;;x
plot_place_bounty_decision;Place a Bounty on [Root.PlotTarget.GetFullName];;;;;;;;;;;;;x
plot_place_bounty_decision_desc;Bounty hunters are a crude but occasionally effective alternative to more subtle means of assassination. The Bounty Hunter's Guild has strict rules - your money will be paid in advance, and held in escrow by the Guild until the target is dead. Contracts are both non-rescindable and non-refundable: you will never see the money again, and [Root.PlotTarget.GetFullName] will be hounded by Guild assassins for the rest of [Root.GetHerHis] life, unless [Root.PlotTarget.GetSheHe] or a family member can match your price.;;;;;;;;;;;;;x
EVTDESCASSASSINATION10;You have made your decision - [Root.PlotTarget.GetFullName] must die. The Bounty Hunters' Guild has strict rules - you must pay the money to the Guild in advance, to be held in escrow until the target is dead. The contract is non-rescindable and non-refundable.;;;;;;;;;;;;;x
EVTOPTAASSASSINATION10;Add 10 credits to the bounty.;;;;;;;;;;;;;x
EVTOPTBASSASSINATION10;Add 100 credits to the bounty.;;;;;;;;;;;;;x
EVTOPTCASSASSINATION10;Add 500 credits to the bounty.;;;;;;;;;;;;;x
EVTOPTDASSASSINATION10;We don't need their scum.;;;;;;;;;;;;;x
bounty;Bounty;;;;;;;;;;;;;x
